age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,mood_rating,physical_activity_hours_per_week,location_type,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,mindfulness_minutes_per_day
51,0,4.8,3.4,1.3,1.6,1.6,4.1,2.0,1.0,1.7,6.6,6,0.7,Urban,1,1,125.2,4.0
64,1,3.9,3.5,1.8,0.9,2.0,2.7,3.1,1.0,1.5,4.5,5,4.3,Suburban,0,1,150.4,6.5
41,2,10.5,2.1,2.6,0.7,2.2,3.0,2.8,4.1,1.7,7.1,5,3.1,Suburban,0,0,187.9,6.9
27,2,8.8,0.0,0.0,0.7,2.5,3.3,1.6,1.3,0.4,5.1,10,0.0,Rural,0,1,73.6,4.8
55,1,5.9,1.7,1.1,1.5,1.6,1.1,3.6,0.8,0.8,7.4,8,3.0,Urban,1,1,217.5,0.0
20,0,9.9,3.2,2.7,1.2,3.3,1.6,2.5,3.3,2.9,6.0,10,3.3,Suburban,1,0,102.8,11.5
33,1,5.8,4.0,3.2,1.9,1.3,0.9,1.7,4.7,1.4,5.9,1,6.8,Urban,0,0,162.8,7.9
51,0,7.4,2.9,3.0,0.9,3.4,1.2,2.2,4.0,0.5,5.3,8,3.5,Urban,0,1,147.1,4.4
31,0,6.0,2.3,2.9,1.4,0.4,1.5,2.1,5.5,1.1,7.1,7,0.0,Suburban,1,0,109.7,21.2
35,1,6.8,6.4,2.1,1.4,0.5,1.2,2.2,5.6,0.7,7.1,1,3.5,Urban,1,0,206.8,8.1
23,0,6.6,2.4,1.0,1.3,0.6,2.3,1.8,1.3,2.1,6.0,9,3.3,Suburban,0,1,110.3,10.5
23,1,5.2,3.9,1.8,0.7,2.5,2.5,2.4,2.1,0.6,8.7,4,4.2,Suburban,0,1,220.9,16.4
36,1,8.2,1.0,0.0,1.2,0.7,0.4,2.9,0.5,1.2,6.5,7,8.3,Urban,0,0,183.4,0.0
48,0,7.4,1.4,3.3,1.0,3.0,1.6,2.5,1.0,0.5,6.5,3,1.9,Urban,0,0,112.5,9.8
52,1,8.1,4.0,1.2,0.9,1.0,1.6,2.5,3.9,3.4,6.6,8,1.7,Urban,0,1,90.1,16.3
36,0,6.6,4.6,1.5,0.6,1.9,0.2,1.9,2.9,1.8,5.7,4,3.9,Rural,0,1,203.3,9.3
15,1,4.2,2.4,3.1,0.0,2.1,1.1,0.9,4.4,1.8,5.3,2,6.7,Urban,1,1,92.9,0.0
34,2,9.4,0.2,0.4,1.6,0.5,3.0,0.6,1.4,1.9,6.1,2,4.3,Urban,1,1,143.3,6.1
14,1,5.5,2.7,0.8,1.2,0.1,3.0,1.2,1.8,0.8,7.3,8,2.3,Suburban,0,1,184.8,11.5
36,0,6.7,3.3,2.3,0.3,1.8,0.0,1.5,3.3,2.7,4.3,8,5.0,Rural,1,1,173.2,0.0
56,0,7.3,3.1,2.5,1.4,1.2,2.6,4.0,3.9,1.1,4.7,1,6.6,Rural,1,0,139.9,0.0
42,1,6.7,2.2,1.9,1.6,2.0,0.2,3.5,0.4,3.0,5.8,6,1.5,Urban,0,0,113.5,25.8
50,2,7.8,2.8,2.0,1.4,0.2,1.5,1.3,2.2,0.9,4.3,9,1.0,Urban,1,1,186.1,13.9
14,0,8.1,1.9,3.3,0.6,1.1,1.9,2.5,3.0,1.9,4.8,9,3.1,Suburban,0,0,56.0,21.9
33,0,5.6,1.3,2.6,0.6,1.3,2.9,1.9,3.5,1.4,7.5,2,3.6,Rural,1,0,163.0,16.9
45,0,9.3,4.1,2.5,0.7,0.0,1.8,2.3,3.8,1.5,6.0,8,5.8,Urban,0,0,85.2,13.2
24,2,5.5,3.1,2.8,1.4,2.5,0.8,1.3,2.4,0.0,5.5,8,2.1,Urban,0,1,106.1,7.5
34,2,6.7,2.8,1.7,1.2,0.7,0.6,4.7,0.9,0.2,6.7,4,3.8,Urban,0,1,168.4,13.0
56,0,5.2,2.2,4.2,2.4,3.0,2.2,4.2,0.0,2.7,6.6,4,6.1,Urban,0,0,112.5,21.6
37,0,4.7,2.7,0.0,0.2,0.8,1.2,1.6,2.3,0.0,7.9,5,3.4,Suburban,0,1,207.9,16.6
61,1,8.1,3.2,3.5,1.0,1.0,1.5,1.3,2.1,2.1,4.4,10,2.2,Urban,1,0,185.3,11.3
39,1,12.2,5.6,2.9,0.0,0.3,3.2,3.1,1.5,3.8,5.4,7,4.1,Urban,1,1,115.1,8.6
54,0,5.3,4.0,2.2,1.3,2.6,2.5,0.5,3.7,1.8,5.8,1,2.3,Urban,0,1,138.7,14.0
40,1,8.4,2.0,2.1,1.5,2.0,3.9,3.0,1.0,3.3,7.0,9,3.7,Urban,0,1,94.8,5.7
28,0,5.3,2.0,1.8,1.7,2.9,0.8,2.2,1.6,1.9,10.0,3,2.6,Urban,1,0,173.6,14.0
27,1,6.0,1.8,3.1,1.1,1.3,1.1,0.3,4.0,1.5,7.2,4,2.7,Urban,0,0,228.4,4.4
59,1,9.5,2.7,2.0,0.0,1.5,2.2,1.8,1.5,1.6,6.2,7,2.2,Rural,0,0,90.2,7.2
63,0,3.9,1.8,1.3,1.0,0.0,4.2,1.2,2.9,1.0,5.0,5,1.9,Urban,1,1,159.4,1.8
56,2,3.3,3.7,2.9,1.2,0.9,1.0,2.2,2.5,1.0,4.9,5,5.0,Suburban,1,1,166.2,6.5
64,1,5.8,0.0,3.6,0.5,1.7,2.0,2.1,2.8,0.7,7.6,1,3.4,Rural,1,1,87.5,4.5
15,0,7.3,3.8,0.1,0.9,1.9,3.6,0.4,3.6,1.6,5.5,2,5.5,Urban,0,0,99.6,23.5
49,0,6.9,3.4,4.4,0.4,3.3,2.1,1.6,2.9,3.4,6.1,5,0.0,Urban,0,1,59.6,2.8
63,1,6.7,4.9,1.0,0.7,0.0,3.2,2.7,0.7,2.6,8.5,2,2.0,Urban,1,0,178.0,13.1
19,0,6.1,4.3,1.0,1.5,1.7,4.3,2.9,0.9,1.4,4.4,1,1.5,Suburban,1,0,132.0,2.4
33,1,7.6,2.0,0.8,1.3,1.1,2.4,1.6,2.9,1.8,6.8,10,2.5,Suburban,1,1,113.7,10.4
21,1,0.2,4.1,2.0,0.3,1.6,2.6,2.5,1.3,1.1,5.4,3,0.9,Urban,0,0,253.2,12.3
51,2,4.5,2.7,0.7,0.6,1.6,2.9,2.3,3.7,2.6,8.5,1,0.0,Rural,1,0,59.9,0.0
30,1,5.8,0.1,0.8,1.0,1.3,0.9,1.9,2.9,0.0,5.4,10,4.3,Suburban,0,0,214.3,0.0
16,0,7.4,3.2,1.3,1.1,0.4,0.2,2.6,0.3,3.1,7.3,8,1.8,Urban,0,0,42.3,2.4
37,0,9.0,2.1,2.1,0.7,0.2,2.2,0.9,5.0,0.7,4.3,8,4.1,Suburban,0,0,124.0,0.0
26,1,4.2,3.0,2.2,1.2,1.2,1.2,2.0,2.0,0.8,8.4,8,0.6,Urban,1,1,65.1,10.7
62,0,8.9,5.5,3.2,1.0,0.1,3.3,0.1,2.2,0.0,7.6,7,0.0,Suburban,0,0,109.0,11.9
21,2,5.1,3.3,3.2,0.0,1.4,2.4,1.9,3.0,1.4,5.8,7,3.5,Urban,0,0,123.0,1.5
38,1,5.7,1.5,3.0,0.7,1.2,3.2,3.7,2.4,0.5,7.0,2,4.3,Suburban,1,0,114.5,11.0
14,0,7.2,4.4,1.7,0.7,0.0,0.6,1.6,3.8,2.4,7.6,9,1.8,Urban,0,1,162.5,6.6
32,0,5.6,3.5,0.2,1.3,3.4,3.2,3.6,1.2,1.9,6.7,7,1.0,Suburban,0,1,193.9,9.2
40,0,8.2,1.3,0.1,1.3,1.6,0.0,1.6,4.0,0.5,6.0,5,5.5,Urban,1,1,144.3,5.0
59,0,5.2,0.6,3.0,0.2,0.0,0.7,0.7,3.4,0.3,6.4,4,2.9,Suburban,1,1,166.2,13.9
19,1,5.2,1.5,2.8,1.2,1.7,2.8,2.8,1.5,0.6,6.6,8,1.0,Urban,0,0,228.0,23.1
56,2,8.1,4.3,1.4,1.0,1.3,1.4,2.6,2.8,0.3,6.6,5,0.0,Urban,1,1,115.1,16.2
20,2,4.5,2.5,0.6,1.1,0.2,1.5,4.8,4.1,0.9,7.0,6,1.6,Urban,0,0,195.2,21.1
59,0,6.5,3.1,1.0,0.7,1.8,2.1,0.8,3.2,0.4,5.3,4,2.2,Urban,1,0,276.3,0.0
47,0,2.7,1.0,2.2,1.0,0.6,3.7,2.4,2.7,2.4,5.7,2,4.5,Suburban,1,1,240.7,4.6
26,0,9.6,4.3,2.2,1.6,1.7,0.0,2.5,3.3,0.7,6.0,7,3.0,Rural,0,0,231.5,14.5
29,0,8.4,0.0,3.0,1.1,0.8,3.5,3.3,3.4,1.8,7.1,2,2.7,Suburban,1,0,186.4,22.1
48,0,11.5,2.0,1.5,1.0,0.6,3.6,2.6,1.8,1.8,4.7,7,1.2,Rural,0,1,207.6,15.2
62,0,8.7,3.6,1.8,0.8,1.5,1.4,1.7,2.7,0.0,6.7,7,5.8,Urban,0,1,125.8,1.8
52,0,3.7,1.3,3.1,1.5,0.0,1.2,0.7,3.6,1.9,7.4,1,5.0,Urban,1,0,145.9,6.5
16,0,7.3,3.9,0.0,0.4,1.4,1.9,2.4,2.7,0.0,6.6,10,4.8,Suburban,0,1,140.1,12.7
14,0,4.2,1.7,2.3,0.6,2.2,1.1,2.4,1.6,0.4,6.6,10,2.9,Rural,0,1,116.8,8.7
18,1,9.2,1.2,1.7,0.3,2.8,2.4,2.8,2.9,1.9,6.1,3,3.8,Suburban,0,1,157.3,3.6
54,1,3.8,4.9,2.7,1.1,2.6,2.6,1.7,2.0,1.3,6.6,3,0.0,Urban,0,1,123.8,7.7
16,1,3.7,3.2,2.5,1.6,2.9,0.1,2.3,3.3,0.9,6.0,6,3.4,Urban,1,1,153.1,9.9
41,0,2.8,3.8,1.3,0.8,1.0,0.9,0.1,4.4,0.0,6.3,3,6.8,Urban,1,1,81.0,1.3
